,BELTON LAKE,LAKE WHITNEY,AQUILLA LAKE,LAKE WACO,PROCTOR LAKE,POSSUM KINGDOM LAKE,LAKE GEORGETOWN,GRANGER LAKE,LAKE LIMESTONE,STILLHOUSE HOLLOW LAKE,SOMERVILLE LAKE,LAKE GRANBURY,SAM RAYBURN RESERVOIR,B A STEINHAGEN LAKE
4/16/1981,0.347686549,0.047518083,0.036776315,0.131479828,0,6.747757178,1.990884014,4.808229347,0.643347127,0.34286951,6.470968781,0.711599357,0,0
4/17/1981,0.006236115,0,0,0.02681713,0,0.013208991,2.532990008,1.358038462,0,0.200463823,0.361468409,0,0,0
4/18/1981,2.77018051,0.660103527,0,5.435054144,3.113260646,10.57127267,3.581205748,2.106003603,0,2.327315173,0.94492146,1.294080503,0,0
4/19/1981,4.435882032,13.00957283,10.73992903,6.96801587,1.060089038,12.320502,3.054074065,1.152759716,1.551913226,2.543738919,2.500106562,6.411476099,2.335225079,6.611312895
4/20/1981,0.079398394,7.32E-05,0,0.897249918,0,1.42E-06,0,0,0,0,0,0,0,0
4/21/1981,5.52307172,0.339030288,0,3.956141697,0,0.573122182,0.02983509,0.537215376,0.03312109,0.208063907,0.148841603,0,0.028683888,0.035276806
4/22/1981,2.301480021,0.428869347,0,0.588270914,5.866696173,24.07614161,14.36587456,10.62943708,0,5.07555853,0.194556086,11.30463846,3.489443183,0.322549105
4/23/1981,29.27200946,24.15866095,18.06199475,27.36427167,25.64913258,13.05840867,32.83672637,27.83192846,24.23731081,33.98506842,15.37373879,21.1251727,20.49617839,15.58642303
4/24/1981,2.164504957,0.998441229,3.32033158,1.423359785,0.023599723,0.009209363,0.85895107,1.128241804,9.396938446,0.848885567,7.13324199,0.04402216,11.82877532,13.42964078
4/25/1981,0,0,0,0,0,0,0.096301703,0.009611287,0,0.136016054,0,0,0.015609746,0.005704964
4/26/1981,0,0,0,0,0,0.001874016,0,0,0,0,1.147143455,0,0.154996484,0.46655674
4/27/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/28/1981,0,0,0,0,0,0.023746414,0,0,0,0,0,0,0,0.029443361
4/29/1981,0,0,0,0,0,0.630472291,0,0,0,0,0.455708254,0.118771717,1.4317277,2.408997209
4/30/1981,0,0,0,0,0,0.00349732,0,0,0,0,0,0.136792762,0,0
5/1/1981,3.055733813,3.762966555,0.217397366,1.98365204,2.883365683,1.214626066,0,0.197128233,1.079160444,3.893364292,0.034754688,2.094853144,6.78967357,3.902713244
5/2/1981,1.442637651,1.027070529,0,0.838580101,0.751519964,0.00846164,4.528394175,2.879215679,0,0.396428981,4.417634092,0.036803252,4.379131229,0.328892607
5/3/1981,3.702355713,0.593083633,0.437550001,1.545326553,0.554013965,0.178940652,3.74979185,4.483149805,7.063914254,3.990682115,11.13642237,0.987549991,0.115325312,0.185722453
5/4/1981,7.192055646,3.377071428,7.383744726,3.670663841,6.80705391,0.1422929,0.353768584,3.838208574,11.65438845,2.508279035,8.489595859,1.842413952,9.122700704,11.63105679
5/5/1981,0.171075525,0.36475226,1.975092106,0.734013725,0.032298342,9.031753768,0.200124354,0.044407249,6.458655905,0.043559998,1.213776211,0.170032124,17.28073658,16.56911055
5/6/1981,0,0.014529837,0.003384211,0,0,0.257473602,0,0,0.289496469,0,0.699776487,0.000848358,0.472387361,0.372892676
5/7/1981,0.042657571,0,0,0,0,0,0,0,0.008755802,0.136268955,0,0,0,0
5/8/1981,0,1.276291593,1.562034209,0.009453952,0.367249559,10.15851853,0,0,0.15593542,0,0,9.045235018,0.035210614,0.684063968
5/9/1981,0.018358186,4.456271686,6.207844717,0.146086721,0,1.027728237,0,0,2.932173546,0.161854243,0.011508546,12.18404189,24.57277864,28.14878603
5/10/1981,0.881180871,1.900681734,13.87970529,1.652515294,0,7.05E-05,0,0.195934428,11.56377903,0.311361039,8.301933426,0.061023077,18.14688971,17.11568208
5/11/1981,0,0,0,0,0,0,0,0,0,0,1.72305653,0,0,0
5/12/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/13/1981,0,0,0,0,0,0,0,0,0,0,1.907501227,0,0,0
5/14/1981,0.321158234,0.972502706,7.473573722,0.217071345,0,0,0,0.013698991,14.86196971,0.956631508,10.46000691,0,12.5108959,9.861340472
5/15/1981,2.784809227,0,0,0.096349619,0,0.351733702,4.460762342,3.066691077,0,0.880056669,0,0,0,0.000992365
5/16/1981,42.435128,49.65762613,49.77611595,48.7170344,42.99364764,9.324091652,21.81892944,21.40450958,53.51469409,34.90253304,24.64349937,29.58625588,29.71001474,36.9614066
5/17/1981,0,0.011951175,0.439205261,0.022157738,0,0.007995331,0,0,2.797354175,0,0,0.015802465,0.665130867,1.111866512
5/18/1981,0,0,0,0.003232473,0,0.000634285,0,0,0,0,0,0.002166459,0,0.006220402
5/19/1981,0,0,0,0,0,0,0,0,0,0,1.47015777,0,0.6664978,1.496260591
5/20/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/22/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/1981,0.004999094,0,0,0.014136491,0.0085712,0.166559081,3.351316564,3.24420393,0,0.473208457,3.502230977,0.364741364,0,0
