,Soil Moisture at 0-40_BRAZOS,percent_full_BRAZOS,Soil Moisture at 40-80_BRAZOS,Soil Moisture at 0-80_BRAZOS,Soil Moisture at 0-40_NECHES,percent_full_NECHES,Soil Moisture at 40-80_NECHES,Soil Moisture at 0-80_NECHES
1996-03,0.2957669617614555,88.0,0.3195957818132303,0.3076813717873428,0.2323470790472724,72.9,0.2451485610817104,0.2387478200644914
1996-04,0.3061567476727783,86.8,0.3212748013638883,0.3137157745183332,0.2355639106756792,69.6,0.2357243789998118,0.2356441448377455
1996-05,0.2880983416322536,86.4,0.3184393150071755,0.3032688283197146,0.2105998263695691,68.7,0.221813338356574,0.2162065823630715
1996-06,0.2883244099488852,84.2,0.3154003715010776,0.3018623907249814,0.1859926599150451,66.9,0.2064852287669115,0.1962389443409783
1996-07,0.2589690066327698,80.9,0.3104015205806492,0.2846852636067095,0.1696293984449498,65.4,0.1958563812942699,0.1827428898696098
1996-08,0.2539527213965535,77.4,0.3064629816665066,0.2802078515315301,0.1813345315908747,62.4,0.1883941490872658,0.1848643403390702
1996-09,0.3062959406522051,81.2,0.3201629718539454,0.3132294562530752,0.2192671676321403,63.3,0.1932039709615108,0.2062355692968255
1996-10,0.3005214414187944,92.0,0.3248502945421255,0.3126858679804599,0.2366624648156661,65.6,0.2171997567722668,0.2269311107939665
1996-11,0.3171647756806163,91.9,0.3284886544682984,0.3228267150744573,0.2471458041458709,66.4,0.2197483317201194,0.2334470679329951
1996-12,0.3268458606275553,92.7,0.3414703737690444,0.3341581171982998,0.2744699369324911,68.0,0.2427936216549347,0.2586317792937129
1997-01,0.3178738902822205,93.3,0.3391956172430109,0.3285347537626157,0.2855922471175581,73.0,0.2671770652535256,0.2763846561855418
1997-02,0.3427568438750531,93.5,0.3493094105632858,0.3460331272191694,0.3050759816708406,79.3,0.3029605656974041,0.3040182736841223
1997-03,0.343723906615026,96.3,0.3669017610337107,0.3553128338243684,0.3079490465451159,98.4,0.3295877591181662,0.318768402831641
1997-04,0.3418436878887633,96.1,0.3599755376537739,0.3509096127712686,0.3021114341229775,99.8,0.3241527997046707,0.3131321169138241
1997-05,0.3406870137403573,96.1,0.3628570442143287,0.351772028977343,0.2884523081503393,99.7,0.3119552539384206,0.3002037810443799
1997-06,0.3340397029932733,95.8,0.3565693776997427,0.345304540346508,0.2868753961416483,99.8,0.3000908469711881,0.2934831215564182
1997-07,0.3026040934030565,96.0,0.3478843028672896,0.3252441981351731,0.2394753592216648,99.4,0.2804260561928908,0.2599507077072778
1997-08,0.2877690293021058,94.9,0.3347611921715404,0.311265110736823,0.2425516986337737,95.5,0.2711821114158772,0.2568669050248254
1997-09,0.2748651442236657,93.6,0.3267469660595931,0.3008060551416294,0.2209905512564136,98.9,0.2568367076188349,0.2389136294376242
1997-10,0.2908912331623489,89.0,0.3230454515508891,0.306968342356619,0.2515801352489032,94.2,0.2531952300756597,0.2523876826622814
1997-11,0.3005902922714917,88.2,0.324334711891611,0.3124625020815513,0.2816632156038062,91.5,0.2755021100199761,0.2785826628118911
1997-12,0.3246214011613702,86.9,0.3319478385202428,0.3282846198408065,0.3037460323123773,92.1,0.3101438270954488,0.306944929703913
1998-01,0.3370856288773535,89.4,0.3515048315011107,0.3442952301892321,0.3197589573600327,99.8,0.3417258962485388,0.3307424268042856
1998-02,0.3376187751193552,90.6,0.3514420520847573,0.3445304136020563,0.3149883588921019,99.8,0.3352487655864449,0.3251185622392734
1998-03,0.342144640953356,90.9,0.3590985993295362,0.3506216201414461,0.3054612070417105,99.7,0.3335094864738821,0.3194853467577963
1998-04,0.3224362027160768,93.8,0.3529320152689856,0.3376841089925312,0.2792326893790617,99.6,0.3064236363934073,0.2928281628862345
1998-05,0.3056690790759348,92.9,0.340074625303451,0.3228718521896929,0.2413136970333172,99.6,0.2782239779735468,0.259768837503432
1998-06,0.2892865854295773,91.2,0.3299927231820546,0.3096396543058159,0.1997411836367782,94.8,0.2479813899003485,0.2238612867685633
1998-07,0.2598222905586325,88.7,0.3212996366202008,0.2905609635894167,0.1545585221811536,89.1,0.2262605117492189,0.1904095169651862
1998-08,0.242491642346787,84.4,0.3149801924523477,0.2787359173995674,0.1513655361994504,82.2,0.2111295703753686,0.1812475532874095
1998-09,0.2430853957750181,81.1,0.3115086539951415,0.2772970248850798,0.2106006399745532,77.4,0.2138854854791731,0.2122430627268631
1998-10,0.2727573949901007,80.2,0.315021371692532,0.2938893833413163,0.2666940362197734,77.1,0.2404462320932314,0.2535701341565024
1998-11,0.2959896094557624,82.6,0.3242218797587096,0.310105744607236,0.2984082609593951,77.9,0.2934339034996621,0.2959210822295286
1998-12,0.3000790852492375,83.3,0.3282553713708466,0.314167228310042,0.3092151272823558,88.7,0.3259845240255461,0.3175998256539509
1999-01,0.2947190041871276,83.8,0.3263461825235428,0.3105325933553352,0.3109056742517094,99.7,0.3336584024004962,0.3222820383261028
1999-02,0.3000483046929478,83.3,0.3243300029451315,0.3121891538190396,0.3021368890961372,98.7,0.335625271993912,0.3188810805450246
1999-03,0.3063002305651494,82.0,0.3225698010168961,0.3144350157910227,0.2939580786456483,98.8,0.3149413654993553,0.3044497220725018
1999-04,0.3071130992730774,84.3,0.3259257866041798,0.3165194429386286,0.2904886830849427,99.7,0.3141713120134909,0.3023299975492168
1999-05,0.308558747769057,84.7,0.3253746484856027,0.3169666981273298,0.277007107000049,99.8,0.2909197834660876,0.2839634452330683
1999-06,0.302498102465046,85.9,0.3232705492884583,0.3128843258767521,0.2749351703788042,99.9,0.2825537717628057,0.278744471070805
1999-07,0.2730565682865128,90.4,0.3189868278140266,0.2960216980502697,0.2497209918298661,99.7,0.2785665239423818,0.2641437578861239
1999-08,0.2451216252620103,87.9,0.3126079070551008,0.2788647661585556,0.1841333604786808,97.1,0.2504605971597392,0.21729697881921
1999-09,0.2375936313143889,83.3,0.3080488034339991,0.272821217374194,0.1687835195834975,89.3,0.2316606436672913,0.2002220816253943
1999-10,0.2366470038605645,80.1,0.3049617336635337,0.2708043687620491,0.1826029442997044,83.5,0.2215860669413333,0.2020945056205188
1999-11,0.2494050353963693,77.0,0.3030805007764744,0.2762427680864218,0.1906916780132301,78.2,0.2168639879005628,0.2037778329568964
1999-12,0.256446666928845,75.2,0.3017126258075359,0.2790796463681905,0.2266685774336984,72.7,0.2191569213200341,0.2229127493768662
2000-01,0.2647504062124042,74.6,0.3017504359002881,0.2832504210563462,0.2311562343662765,70.5,0.2246846523334679,0.2279204433498722
2000-02,0.2665614368735682,73.9,0.3014212760240612,0.2839913564488147,0.2322286019954851,66.9,0.2242012143709571,0.2282149081832211
2000-03,0.2764725949728551,73.6,0.3022367255367804,0.2893546602548177,0.2521993949709999,65.7,0.2259222245113931,0.2390608097411964
2000-04,0.2885335731769718,74.3,0.3076875503388475,0.2981105617579097,0.2781880187114449,69.5,0.2633235556937012,0.270755787202573
2000-05,0.2799170646114456,75.3,0.3081050457000986,0.2940110551557721,0.2811366182825373,76.4,0.2785008735544589,0.2798187459184981
2000-06,0.2958857203367741,74.9,0.3125023499076927,0.3041940351222333,0.2602636367778315,84.0,0.2653513943906078,0.2628075155842196
2000-07,0.2641759622317832,84.7,0.3109481036459425,0.2875620329388628,0.2015842220900674,84.4,0.2428427275138323,0.2222134748019498
2000-08,0.2368648711928834,81.1,0.3049971380691895,0.2709310046310364,0.1509787125399837,80.0,0.2217325830551534,0.1863556477975685
2000-09,0.2284248458888091,75.6,0.3007888418280373,0.2646068438584232,0.1474693683276354,76.1,0.2083274223415159,0.1778983953345757
2000-10,0.2509689946830555,72.1,0.2990800206322853,0.2750245076576704,0.1628817409776058,73.0,0.2010846059280862,0.181983173452846
2000-11,0.3274908254739529,73.0,0.3242653995441345,0.3258781125090437,0.2896543914751759,71.0,0.2539833322928385,0.2718188618840072
2000-12,0.3228651516619068,81.2,0.3360471522548349,0.3294561519583708,0.3046725383303355,78.1,0.3119970862963684,0.3083348123133519
2001-01,0.3357222381713776,81.4,0.3430339376384095,0.3393780879048936,0.3146626148322189,86.1,0.3364072850795467,0.3255349499558828
2001-02,0.3444211863926555,83.2,0.3539154891146983,0.3491683377536769,0.3105520003348852,99.3,0.3347211087974896,0.3226365545661874
2001-03,0.3536925974518872,88.7,0.3677351585341409,0.3607138779930141,0.3269908573860593,99.5,0.3511267869865348,0.339058822186297
2001-04,0.3288536781708156,89.1,0.3586634600478915,0.3437585691093536,0.2902255465901509,99.5,0.3224120792682441,0.3063188129291975
2001-05,0.3202964987683111,88.8,0.3476747180564544,0.3339856084123827,0.2748184597949357,99.4,0.2970262153914105,0.2859223375931731
2001-06,0.2922441836512629,89.1,0.3352133504594446,0.3137287670553537,0.303076312105147,99.7,0.3227113365731776,0.3128938243391623
2001-07,0.2583442711927777,87.6,0.3245948380321803,0.291469554612479,0.2511600910484521,99.7,0.2993733640521977,0.2752667275503249
2001-08,0.2423433057266159,83.1,0.3177176898504347,0.2800304977885253,0.1994566930392093,99.2,0.2651464371629373,0.2323015651010733
2001-09,0.266329511425306,80.4,0.3172493803604939,0.2917894458928999,0.2628263331586412,95.4,0.2665501577555804,0.2646882454571108
2001-10,0.2691350920620594,79.7,0.3160124712049252,0.2925737816334923,0.2724253450044489,91.4,0.2808949131655655,0.2766601290850071
2001-11,0.29355938803187,78.8,0.3205588557626146,0.3070591218972423,0.2640226019363913,90.6,0.2791289684338652,0.2715757851851282
2001-12,0.3153014111209037,80.0,0.3333166013552563,0.32430900623808,0.3170664492581109,89.9,0.3335551509328658,0.3253108000954884
2002-01,0.3091897300406857,80.6,0.3334733190689111,0.3213315245547984,0.3040409774803952,98.2,0.3298385596412985,0.3169397685608468
2002-02,0.3180838995965981,80.6,0.3357773568884711,0.3269306282425346,0.3011742248557486,98.6,0.327410659240437,0.3142924420480928
2002-03,0.3135213083724836,80.6,0.3335178853973486,0.3235195968849161,0.2888418001322692,98.8,0.3118516315063122,0.3003467158192907
2002-04,0.3246509826537805,85.3,0.3415926381127633,0.3331218103832719,0.2916669741804046,98.9,0.3185404657131868,0.3051037199467957
2002-05,0.3110226706170135,87.1,0.3367173396341628,0.3238700051255882,0.2549144729063382,98.8,0.28541227024583,0.270163371576084
2002-06,0.3033916888606603,87.5,0.331918329157264,0.3176550090089621,0.2491174903015546,97.1,0.2623524652181698,0.2557349777598622
2002-07,0.3112767267666886,87.8,0.3359349458536478,0.3236058363101682,0.2449114180831626,93.0,0.2532614057731627,0.2490864119281627
2002-08,0.2813160449848918,90.5,0.3290102187589414,0.3051631318719165,0.1918835511798606,89.1,0.2373261602503514,0.214604855715106
2002-09,0.2777331665037096,86.7,0.3220754595735622,0.2999043130386358,0.1853501758620387,84.2,0.2222327000093708,0.2037914379357047
