,sm_initial,sm_difference,prec_rollingsum,sm_final,tmean_rollingavg
2020-10-17,0.344070037375,-0.0044708293750000405,0.004669736621391824,0.339599208,70.31788692429906
2020-10-18,0.343708781,-0.004380629750000031,0.004669736621391824,0.33932815125,69.81890989015467
2017-02-11,0.360301834875,-0.005299988249999998,0.004729742194623549,0.355001846625,51.61677335377416
2017-02-10,0.360575576125,-0.005169827875000033,0.004729742194623549,0.35540574825,50.94162231739424
2007-11-07,0.342752343125,-0.0032258270000000144,0.004757884331810333,0.339526516125,58.98607421785381
2006-01-17,0.320128045375,-0.0012261434999999987,0.00480436271714418,0.318901901875,52.87296280619061
2010-12-22,0.3303678005,-0.00177906312499998,0.004806583175907341,0.328588737375,48.276164874889574
2010-12-19,0.3307960625,-0.0018537951250000018,0.004806583175907341,0.328942267375,45.53568089067941
2010-12-21,0.330506208625,-0.0017972310000000102,0.004806583175907341,0.328708977625,46.304460136237246
2010-12-20,0.330646749375,-0.0018222116250000142,0.004806583175907341,0.32882453775,45.10130279555593
1999-02-27,0.32484052775,-0.0023728093750000068,0.004816386797405509,0.322467718375,52.07222492867292
2017-02-07,0.36105125025,-0.004458051250000039,0.004968729522037786,0.35659319899999997,48.787671426809304
2017-02-09,0.360812917375,-0.0049954017499999614,0.0049693314427976835,0.355817515625,50.088157072522904
2017-02-08,0.36097922787500003,-0.004778735125000044,0.0049693314427976835,0.35620049275,49.705481127794556
2000-02-20,0.301678145375,-0.00043936862499999174,0.004996033198970167,0.30123877675,55.15374496993921
1989-12-29,0.319686901,-0.0013574086250000006,0.005086247731794667,0.318329492375,29.154722892516997
1996-02-24,0.32411598675,-0.0018170281249999531,0.0050909326136228455,0.322298958625,57.80511080193775
1996-02-23,0.324231872,-0.001791616249999961,0.0050909326136228455,0.32244025575,56.89682934127006
1996-02-25,0.323999708,-0.0018384768749999947,0.0050909326136228455,0.322161231125,57.51990009652737
1989-09-30,0.328881797875,0.0009589285000000114,0.005134435802448328,0.329840726375,65.86336609251865
1989-10-04,0.33056973962499997,-0.0014010939999999361,0.005134435802448328,0.32916864562500003,66.37907533084068
1989-10-01,0.329645747625,4.762299999999664e-05,0.005134435802448328,0.329693370625,65.9244461940018
1989-10-02,0.330118058875,-0.0005986237500000269,0.005134435802448328,0.329519435125,65.90587068805856
1989-10-03,0.330414586875,-0.0010689759999999993,0.005134435802448328,0.329345610875,66.2459194106987
1989-10-05,0.330622456625,-0.0016286942500000068,0.005138931987409556,0.328993762375,66.4968664408796
1989-10-06,0.330618935,-0.0017957531250000214,0.005154900721420517,0.328823181875,66.60962844365638
2008-11-03,0.321679379375,-1.4746249999975092e-06,0.005344019073805203,0.32167790475,59.98206968469993
2008-11-04,0.32186240625,-0.0002720522499999878,0.005344019073805203,0.321590354,60.157714985653676
2008-11-01,0.321096458625,0.0007493017499999866,0.005344019073805203,0.321845760375,59.2825659026826
2008-11-02,0.321433192625,0.0003278073750000443,0.005344019073805203,0.321761,59.69288120125788
1984-04-24,0.315977645375,-0.0018522311249999923,0.005356546493058642,0.31412541425,62.86248559502134
2008-10-31,0.320639069375,0.001278283875000008,0.005369169848643471,0.32191735325,58.73013984408755
2000-02-21,0.30168153799999997,-0.0004995741249999575,0.0055811048242197965,0.301181963875,55.419288042078264
1984-04-25,0.315879421375,-0.0019161360000000127,0.0057426057744109525,0.313963285375,62.74755215322993
1984-04-26,0.315772155,-0.0019685833749999992,0.005798628905648146,0.313803571625,63.88888848738832
1995-10-30,0.337629308875,-0.0032462887499999926,0.005805523608442425,0.334383020125,64.01389646519607
1996-02-22,0.324348470125,-0.0017561696250000258,0.005826586662522022,0.3225923005,56.10021222171613
2014-01-09,0.324013181125,0.001484532375000014,0.005837760855792353,0.3254977135,37.83115007693162
2000-09-10,0.30323603725000003,-0.0018816451250000532,0.005843669989890991,0.301354392125,87.08056294021357
1989-11-15,0.32494479725,-0.0018509814999999596,0.005942950432283442,0.32309381575,59.26056665523491
1984-04-23,0.316055831875,-0.001780921375000022,0.005956799996169543,0.3142749105,63.04960984956694
1989-11-16,0.324835161625,-0.0018878451250000094,0.0060865684568257965,0.32294731649999997,60.38861158992798
2003-12-08,0.321256888375,-0.001294204000000021,0.006202723368856751,0.319962684375,47.57871083035568
1989-11-17,0.32472260275,-0.0019134433749999902,0.006271523821494584,0.322809159375,60.319581688199186
2003-12-28,0.31927353225,-0.001337822749999995,0.006276034898772585,0.3179357095,48.9609607930165
2000-02-22,0.301675877375,-0.0005464084999999841,0.0063847172284461,0.30112946887500003,55.86439909634502
2000-09-06,0.303848464,-0.0020121036249999835,0.006575571624006601,0.301836360375,87.62708173685769
1989-11-18,0.324608931125,-0.001934971374999983,0.006601898368134525,0.32267395975,60.25859111566864
2010-10-11,0.33962771225,-0.0008172181250000188,0.0067749000407370105,0.338810494125,66.00020988445901
2020-10-09,0.347006165125,-0.004984676500000007,0.006788956957634595,0.342021488625,69.37007151043773
2017-12-01,0.336276343875,-0.0021657438750000146,0.006873140246060459,0.3341106,56.0221187039689
1989-09-29,0.327625499375,0.002359572124999987,0.006981759182751206,0.3299850715,65.6044140057917
2020-10-12,0.3459492085,-0.0048667565000000135,0.007031414816769021,0.341082452,69.34307030522808
2020-10-10,0.3466708985,-0.004969640499999983,0.007041077740449317,0.341701258,69.48744088348771
2016-12-21,0.361998073,-0.0020980212499999706,0.007055178093516159,0.35990005175,40.03789917627409
2020-10-11,0.346314826875,-0.00492765737499995,0.007073911597473939,0.34138716950000003,69.3887739718975
1996-02-21,0.324464072875,-0.0017291125000000185,0.007267235930327149,0.322734960375,54.755360166637345
2020-11-14,0.337421090375,-0.0023367725000000283,0.007296323821524798,0.335084317875,60.87879672562858
1983-01-18,0.332789507,0.0030912398750000403,0.007352697433900726,0.335880746875,44.56942987271308
2020-11-13,0.337446066125,-0.0021408098749999827,0.007408960805814758,0.33530525625,59.7206467228605
2006-11-28,0.323146823375,-0.0013272068749999866,0.007616559311560137,0.3218196165,55.428284028125866
2020-10-08,0.347314525875,-0.004969095874999996,0.007876798358655911,0.34234543,69.01075557095825
2007-11-08,0.342574326125,-0.0033014044999999936,0.007945673646454925,0.339272921625,58.75520179630281
2005-07-02,0.3393353725,-0.005821931374999978,0.007958406806008674,0.33351344112500003,81.60409316929277
2007-11-10,0.342177162625,-0.0034031172499999762,0.00795859769828261,0.338774045375,59.49851676796044
2007-11-09,0.34238611274999997,-0.003361398874999977,0.00795859769828261,0.339024713875,58.71227924559488
2016-02-06,0.384575468625,-0.00971959750000001,0.008091469812808746,0.374855871125,47.73151404691536
1993-08-24,0.320974068,-0.002882165499999978,0.008112939807960433,0.3180919025,86.0037070071221
2017-11-30,0.336330109125,-0.0020389847499999725,0.008156441133891305,0.334291124375,56.91163118104879
1997-01-02,0.34244101725,-0.001945917999999991,0.008188401549523277,0.34049509925,45.44015394859992
1997-01-03,0.342484272875,-0.002232398624999965,0.008197027454645085,0.34025187425000003,48.17429988121465
1997-01-04,0.34245409649999997,-0.0024419003749999724,0.008197027454645085,0.340012196125,50.952096380317876
1997-01-05,0.342402822875,-0.0026329856250000283,0.008199276859042391,0.33976983725,53.267966129591805
1991-10-24,0.3383161985,-0.003295518875000014,0.00825968058428458,0.335020679625,68.51333479555989
2003-12-12,0.32106134462499997,-0.0016018169999999499,0.008321312699409101,0.319459527625,48.75695046506733
2017-11-29,0.336366759125,-0.0018897142500000075,0.008331719165945288,0.334477044875,57.47958554834914
2000-01-27,0.301890158875,-9.992212499998487e-05,0.008345612487765006,0.30179023675,51.86437092958613
2003-12-11,0.32113227375,-0.0015530332499999466,0.008348701990695795,0.31957924050000003,49.86263982291589
2017-11-28,0.336370976625,-0.0017067947499999625,0.00840580468027245,0.334664181875,57.312001757332474
2000-09-11,0.303075869875,-0.0018383058750000014,0.008422297150628723,0.301237564,86.82368446153875
1997-01-01,0.342289375125,-0.0015669214999999848,0.008427523392508896,0.34072245362500003,43.09689913807252
2020-11-15,0.337376231875,-0.0025320048749999935,0.008518789941272708,0.334844227,61.32641031332955
2001-11-03,0.316840152125,-0.001282206000000008,0.008619216246126037,0.315557946125,65.64273684231806
2007-11-11,0.341959588125,-0.0034221642499999705,0.008654691593617932,0.338537423875,60.21231171404687
1999-02-26,0.324987148625,-0.002346508749999976,0.008657106856581484,0.322640639875,50.3575261190983
2001-11-04,0.31682729625,-0.001391706125000003,0.008686652734197072,0.315435590125,65.97187558700644
2009-03-04,0.31423183675,-0.0009930727499999903,0.008746609548102134,0.313238764,52.50405570744887
1984-05-17,0.31268114675,-0.0025307600000000208,0.008888396608287583,0.31015038675,74.5217112392553
2022-06-19,0.31793848125,-0.0008020966250000261,0.008895093476809335,0.317136384625,85.70242672016253
